state,total1996,total1997,total1998,total1999,elem1999,sec1999,ung1999,total2000,elem2000,sec2000,ung2000
Alabama,45035,45967,47766,48624,27916,20708,0,48199,27932,20267,0
Alaska,7418,7625,8118,7838,5271,2567,0,7880,5115,2765,0
Arizona,40521,41129,42352,43892,31489,12403,0,44438,31916,12522,0
Arkansas,26681,26931,27953,31362,13567,13054,4741,31947,13941,13665,4341
California,248818,268535,281784,287433,192783,68292,26358,298064,218293,75568,4203
Colorado,36398,37840,39434,40772,20633,20139,0,41983,21409,20574,0
Connecticut,36551,37658,38772,39907,23422,11487,4998,41044,24104,11944,4996
Delaware,6642,6850,7074,7318,3696,3622,0,7471,3782,3689,0
District of Columbia,5288,4388,5187,4812,2928,1884,0,4949,3152,1248,549
Florida,120471,124473,126796,130336,57116,49890,23330,132030,57742,51028,23260
Georgia,81795,86244,88658,90638,53491,37147,0,91044,53035,38009,0
Hawaii,10576,10653,10639,10866,5959,4858,49,10927,5984,4896,47
Idaho,13078,13207,13426,13641,6960,6681,0,13714,6981,6733,0
Illinois,116274,118734,121758,124815,75085,31030,18700,127620,76483,31727,19410
Indiana,56708,57371,58084,58864,30680,25527,2657,59226,30840,25683,2703
Iowa,32593,32700,32822,33480,20371,12073,1036,34636,20994,12368,1274
Kansas,30875,31527,32003,32969,15020,14414,3535,32742,14628,14680,3434
Kentucky,39331,40488,40803,41954,22814,11868,7272,39589,21542,11750,6297
Louisiana,47334,48599,49124,50031,34468,15107,456,49916,34775,14797,344
Maine,15551,15700,15890,16349,11142,5207,0,16559,11232,5327,0
Maryland,47943,48318,49840,50995,30758,20237,0,52433,31518,20915,0
Massachusetts,64574,67170,69752,77596,27822,39452,10322,67432,31216,30300,5916
Michigan,88051,90529,93220,96094,42021,42903,11170,97031,41410,43234,12387
Minnesota,48245,51998,54449,56010,29463,25009,1538,53457,27950,25507,0
Mississippi,29293,29441,31140,30722,15441,10035,5246,31006,15573,10126,5307
Missouri,59428,60889,62449,63890,32471,30661,758,64739,32740,31385,614
Montana,10268,10228,10221,10353,7035,3318,0,10411,7097,3314,0
Nebraska,20174,20065,20310,20766,12310,8311,145,20983,12618,8365,0
Nevada,14805,16053,16415,17380,8872,6448,2060,18294,9453,6691,2150
New Hampshire,12692,12931,13290,14037,9619,4418,0,14341,9982,4359,0
New Jersey,87642,89671,92264,95883,54243,27226,14414,99718,57673,27688,14357
New Mexico,19971,19647,19981,19797,11441,4680,3676,21043,11968,4777,4298
New York,185104,190874,197253,202078,104299,68466,29313,206961,107900,68649,30412
North Carolina,75239,77785,79531,81914,49507,29250,3157,83680,50752,29357,3571
North Dakota,7892,8070,7974,8150,4862,3288,0,8141,4862,3279,0
Ohio,108515,110761,113984,116200,78068,37827,305,118361,79212,38971,178
Oklahoma,39568,40215,40876,41498,19268,17684,4546,41318,19429,17707,4182
Oregon,26757,26935,27152,27803,14730,8400,4673,28094,15033,8229,4832
Pennsylvania,106432,108014,111065,114525,52804,47289,14432,116963,53774,48018,15171
Rhode Island,10656,10598,11124,11041,4856,4555,1630,10646,4635,4405,1606
South Carolina,41463,42336,43689,45468,31786,13682,0,45380,32377,12835,168
South Dakota,9625,9282,9273,9384,5666,2630,1088,9397,5714,2650,1033
Tennessee,54790,54142,59258,60702,44305,15195,1202,61233,44425,15585,1223
Texas,247650,254557,259739,267935,130273,98495,39167,274826,134823,108539,31464
Utah,19734,21115,21501,21832,10527,8909,2396,22008,10572,9027,2409
Vermont,7751,7909,8221,8474,3265,3280,1929,8414,3209,3086,2119
Virginia,74526,77575,79323,85037,48937,36100,0,91560,50225,41335,0
Washington,48307,49074,49671,50368,25495,20424,4449,51098,25815,20426,4857
West Virginia,20888,20947,20989,21082,10337,7016,3729,20930,10293,6905,3732
Wisconsin,54769,55732,61176,60778,42699,18079,0,62332,44125,18207,0
Wyoming,6729,6677,6713,6940,3213,3532,195,6783,3216,3490,77
